ExpNum AgentType UtilType GenType Alpha Voters Candidates Iterations Experiments Borda_borda Borda_copeland Borda_plurality Borda_stv Condorcet Cond_borda Cond_copeland Cond_plurality Cond_stv
1 BestResponseAgent linear_util impartial_culture None 9 7 500 100 1.0 0.9921546085597381 0.9196475817887415 0.9715560478009994 False 0.8507462686567164 1.0 0.5223880597014925 0.835820895522388
2 BestResponseAgent linear_util impartial_culture None 9 3 500 100 1.0 0.9941818181818181 0.9673181818181819 0.9961818181818183 True 0.8829787234042553 1.0 0.7872340425531915 0.9680851063829787
3 BestResponseAgent exp_util impartial_culture None 9 7 500 100 1.0 0.9867975935301598 0.9300986390466689 0.9623825005269501 True 0.7922077922077922 1.0 0.5454545454545454 0.8831168831168831
4 BestResponseAgent exp_util impartial_culture None 9 3 500 100 1.0 0.9919999999999999 0.9692878787878787 0.9875 True 0.9560439560439561 1.0 0.7802197802197802 0.9340659340659341
5 BestResponseAgent log_util impartial_culture None 9 7 500 100 1.0 0.9801115836910553 0.9155813930720488 0.94980636279371 True 0.8571428571428571 1.0 0.5555555555555556 0.8253968253968254
6 BestResponseAgent log_util impartial_culture None 9 3 500 100 1.0 0.9915034965034963 0.9694883449883449 0.985230769230769 True 0.9139784946236559 1.0 0.8387096774193549 0.967741935483871
13 BestResponseAgent linear_util polya_eggenberger 0.1 9 7 500 100 1.0 0.9783151695883096 0.9288125136120786 0.9528897005970207 True 0.7671232876712328 1.0 0.726027397260274 0.8904109589041096
14 BestResponseAgent linear_util polya_eggenberger 0.1 9 3 500 100 1.0 0.9814871794871795 0.9804184149184149 0.9805780885780885 True 0.8709677419354839 1.0 0.9032258064516129 0.978494623655914
15 BestResponseAgent exp_util polya_eggenberger 0.1 9 7 500 100 1.0 0.9835969605222371 0.9341813721319968 0.9452796762442753 False 0.8333333333333334 1.0 0.7083333333333334 0.8333333333333334
16 BestResponseAgent exp_util polya_eggenberger 0.1 9 3 500 100 1.0 0.9897727272727272 0.9793636363636363 0.9879545454545453 True 0.90625 1.0 0.8645833333333334 0.96875
17 BestResponseAgent log_util polya_eggenberger 0.1 9 7 500 100 1.0 0.9762824950395627 0.9331231035720537 0.9478523789476706 True 0.7945205479452054 1.0 0.6986301369863014 0.821917808219178
18 BestResponseAgent log_util polya_eggenberger 0.1 9 3 500 100 1.0 0.9856969696969697 0.9775909090909092 0.9861969696969696 True 0.945054945054945 1.0 0.8351648351648352 0.967032967032967
25 PragmatistAgent linear_util impartial_culture None 9 7 500 100 1.0 0.9809907422731259 0.9206561243481065 0.9530067388613596 True 0.7647058823529411 1.0 0.5588235294117647 0.75
26 PragmatistAgent linear_util impartial_culture None 9 3 500 100 1.0 0.9886212121212119 0.9729242424242426 0.9896212121212122 True 0.9347826086956522 1.0 0.7608695652173914 0.967391304347826
27 PragmatistAgent exp_util impartial_culture None 9 7 500 100 1.0 0.9840067667891667 0.9133190313454956 0.9617930910013806 True 0.835820895522388 1.0 0.5373134328358209 0.8059701492537313
28 PragmatistAgent exp_util impartial_culture None 9 3 500 100 1.0 0.9932727272727273 0.967118881118881 0.9932727272727271 True 0.967391304347826 1.0 0.7717391304347826 0.9891304347826086
29 PragmatistAgent log_util impartial_culture None 9 7 500 100 1.0 0.9854801883847188 0.9340721505160139 0.9615830190274056 True 0.8923076923076924 1.0 0.5846153846153846 0.7692307692307693
30 PragmatistAgent log_util impartial_culture None 9 3 500 100 1.0 0.9922727272727273 0.9776212121212121 0.9884545454545455 True 0.9080459770114943 1.0 0.8045977011494253 0.9655172413793104
37 PragmatistAgent linear_util polya_eggenberger 0.1 9 7 500 100 1.0 0.9662208113423881 0.9172389236815769 0.9444767212420981 True 0.8289473684210527 1.0 0.6710526315789473 0.8552631578947368
38 PragmatistAgent linear_util polya_eggenberger 0.1 9 3 500 100 1.0 0.9946969696969696 0.9842727272727272 0.9857272727272728 True 0.946236559139785 1.0 0.8817204301075269 0.967741935483871
39 PragmatistAgent exp_util polya_eggenberger 0.1 9 7 500 100 1.0 0.9783029974568322 0.9075363739102272 0.9460541377333985 True 0.7794117647058824 1.0 0.75 0.9117647058823529
40 PragmatistAgent exp_util polya_eggenberger 0.1 9 3 500 100 1.0 0.9885069930069929 0.9718927738927736 0.9847797202797203 True 0.8936170212765957 1.0 0.8191489361702128 0.9787234042553191
41 PragmatistAgent log_util polya_eggenberger 0.1 9 7 500 100 1.0 0.9712176711483231 0.9222168881220694 0.949044514758878 True 0.7733333333333333 1.0 0.72 0.8933333333333333
42 PragmatistAgent log_util polya_eggenberger 0.1 9 3 500 100 1.0 0.9933333333333333 0.9726969696969696 0.9824545454545455 True 0.967741935483871 1.0 0.8602150537634409 0.9354838709677419
49 LearningAgent linear_util impartial_culture None 9 7 500 100 1.0 0.9893312991826546 0.9257741562608297 0.9637931414478278 False 0.881578947368421 1.0 0.5657894736842105 0.8552631578947368
50 LearningAgent linear_util impartial_culture None 9 3 500 100 1.0 0.9964125874125874 0.9787762237762238 0.9924125874125873 True 0.9230769230769231 1.0 0.8241758241758241 0.978021978021978
51 LearningAgent exp_util impartial_culture None 9 7 500 100 1.0 0.9850201208447177 0.9202027683543637 0.954689709805121 False 0.9305555555555556 1.0 0.5277777777777778 0.7916666666666666
52 LearningAgent exp_util impartial_culture None 9 3 500 100 1.0 0.9935151515151515 0.9654848484848483 0.9826363636363636 True 0.9578947368421052 1.0 0.7684210526315789 0.9473684210526315
53 LearningAgent log_util impartial_culture None 9 7 500 100 1.0 0.9834336835532327 0.912012511112456 0.9520333017909338 False 0.7611940298507462 1.0 0.5074626865671642 0.835820895522388
54 LearningAgent log_util impartial_culture None 9 3 500 100 1.0 0.9950909090909092 0.9731363636363636 0.9894545454545455 True 0.9247311827956989 1.0 0.8709677419354839 0.978494623655914
61 LearningAgent linear_util polya_eggenberger 0.1 9 7 500 100 1.0 0.9801665335928719 0.919817471215304 0.949754209407263 True 0.7567567567567568 1.0 0.6756756756756757 0.8513513513513513
62 LearningAgent linear_util polya_eggenberger 0.1 9 3 500 100 1.0 0.9794953379953381 0.9714953379953379 0.9794953379953383 False 0.956989247311828 1.0 0.8817204301075269 0.989247311827957
63 LearningAgent exp_util polya_eggenberger 0.1 9 7 500 100 1.0 0.9730161188834342 0.9172365243185331 0.936788465282003 False 0.7971014492753623 1.0 0.7391304347826086 0.8840579710144928
64 LearningAgent exp_util polya_eggenberger 0.1 9 3 500 100 1.0 0.9919766899766899 0.9770256410256409 0.9814312354312353 True 0.9444444444444444 1.0 0.8777777777777778 0.9777777777777777
65 LearningAgent log_util polya_eggenberger 0.1 9 7 500 100 1.0 0.9779376532659563 0.9325516630624484 0.9592710075151162 True 0.7948717948717948 1.0 0.7435897435897436 0.8717948717948718
66 LearningAgent log_util polya_eggenberger 0.1 9 3 500 100 1.0 0.992897435897436 0.9755337995337995 0.9805944055944056 True 0.8979591836734694 1.0 0.8469387755102041 0.9285714285714286
73 LearningBestResponseAgent linear_util impartial_culture None 9 7 500 100 1.0 0.9818193200883963 0.903193233373222 0.9546830977046009 False 0.8548387096774194 1.0 0.5806451612903226 0.8548387096774194
74 LearningBestResponseAgent linear_util impartial_culture None 9 3 500 100 1.0 0.9894242424242424 0.9745909090909093 0.9876969696969701 True 0.8888888888888888 1.0 0.7888888888888889 0.9555555555555556
75 LearningBestResponseAgent exp_util impartial_culture None 9 7 500 100 1.0 0.9867701230420783 0.9232987696882788 0.9538825824930863 True 0.8591549295774648 1.0 0.5633802816901409 0.8028169014084507
76 LearningBestResponseAgent exp_util impartial_culture None 9 3 500 100 1.0 0.9931818181818183 0.9749545454545455 0.9863636363636364 True 0.9560439560439561 1.0 0.8461538461538461 0.9560439560439561
77 LearningBestResponseAgent log_util impartial_culture None 9 7 500 100 1.0 0.9851351175994574 0.923912994146503 0.9688985202144468 True 0.775 1.0 0.6 0.8125
78 LearningBestResponseAgent log_util impartial_culture None 9 3 500 100 1.0 0.9960909090909091 0.9666818181818181 0.9848181818181817 True 0.9120879120879121 1.0 0.7912087912087912 0.945054945054945
85 LearningBestResponseAgent linear_util polya_eggenberger 0.1 9 7 500 100 1.0 0.9837468144160998 0.9178551241082951 0.9441250449936246 True 0.8208955223880597 1.0 0.6865671641791045 0.835820895522388
86 LearningBestResponseAgent linear_util polya_eggenberger 0.1 9 3 500 100 1.0 0.9910909090909092 0.9717144522144524 0.9887727272727272 True 0.967741935483871 1.0 0.9032258064516129 0.978494623655914
87 LearningBestResponseAgent exp_util polya_eggenberger 0.1 9 7 500 100 1.0 0.9760159940929498 0.9281216472631024 0.9550977254740234 True 0.8552631578947368 1.0 0.7631578947368421 0.9078947368421053
88 LearningBestResponseAgent exp_util polya_eggenberger 0.1 9 3 500 100 1.0 0.9894393939393938 0.9766853146853147 0.9866212121212119 True 0.9560439560439561 1.0 0.9010989010989011 1.0
89 LearningBestResponseAgent log_util polya_eggenberger 0.1 9 7 500 100 1.0 0.98261266547741 0.9245343368284235 0.9476119753258451 True 0.8767123287671232 1.0 0.6712328767123288 0.863013698630137
90 LearningBestResponseAgent log_util polya_eggenberger 0.1 9 3 500 100 1.0 0.9893636363636362 0.9732948717948717 0.9887272727272728 True 0.9247311827956989 1.0 0.8064516129032258 0.956989247311828
91 LearningBayesianAgent linear_util impartial_culture None 9 7 500 100 1.0 0.9786643968619586 0.9438656878570241 0.9741278506373132 False 0.873015873015873 1.0 0.6825396825396826 0.9047619047619048
92 LearningBayesianAgent linear_util impartial_culture None 9 3 500 100 1.0 0.9915303030303031 0.9708030303030304 0.9847121212121211 True 0.9325842696629213 1.0 0.8426966292134831 0.9775280898876404
